"Name","Size (bytes)","QC status","Times scheduled","Version","Duration","TC In","Created","Updated"
"icfpws21invitedmain-p253-p-video","289711164","OK","0","6","0:12:49.21","0:00:00.00","2021-09-06T02:13:46","2021-10-09T03:42:14"
"icfpws21invitedmain-p252-p-video","171399285","OK","4","6","0:13:27.27","0:00:00.00","2021-09-06T02:29:40","2021-10-09T03:41:04"
"icfpws21invitedmain-p254-p-video","207902115","OK","0","6","0:13:55.00","0:00:00.00","2021-09-06T02:13:45","2021-10-09T03:40:46"
"icfpws21invitedmain-p251-p-video","131287928","OK","0","6","0:13:59.21","0:00:00.00","2021-09-06T02:29:15","2021-10-09T03:39:18"
"icfp21main-p97-p-video","349896960","OK","3","6","0:13:59.25","0:00:00.00","2021-09-06T02:29:07","2021-10-09T03:38:28"
"icfp21main-p99-p-video","202546519","OK","5","6","0:13:59.13","0:00:00.00","2021-09-06T02:28:25","2021-10-09T03:37:31"
"icfp21main-p87-p-video","225823225","OK","0","6","0:11:47.26","0:00:00.00","2021-09-06T02:28:13","2021-10-09T03:37:01"
"icfp21main-p78-p-video","185349623","OK","0","6","0:12:56.23","0:00:00.00","2021-09-06T02:27:22","2021-10-09T03:35:54"
"icfp21main-p7-p-video","382034864","OK","0","6","0:13:53.24","0:00:00.00","2021-09-06T02:27:08","2021-10-09T03:35:40"
"icfp21main-p81-p-video","178902308","OK","2","6","0:13:58.10","0:00:00.00","2021-09-06T02:27:53","2021-10-09T03:34:57"
"icfp21main-p84-p-video","198391340","OK","3","6","0:13:44.09","0:00:00.00","2021-09-06T02:27:40","2021-10-09T03:33:51"
"icfp21main-p6-p-video","469749686","OK","0","6","0:13:58.29","0:00:00.00","2021-09-06T02:26:03","2021-10-09T03:33:28"
"icfp21main-p61-p-video","355027365","OK","0","6","0:13:58.21","0:00:00.00","2021-09-06T02:26:32","2021-10-09T03:32:09"
"icfp21main-p68-p-video","232397337","OK","0","6","0:13:31.10","0:00:00.00","2021-09-06T02:26:48","2021-10-09T03:31:03"
"icfp21main-p50-p-video","280044294","OK","0","6","0:14:00.22","0:00:00.00","2021-09-06T02:25:35","2021-10-09T03:29:03"
"icfp21main-p48-p-video","217940183","OK","0","6","0:14:56.09","0:00:00.00","2021-09-06T02:25:18","2021-10-09T03:27:15"
"icfp21main-p57-p-video","178746458","OK","0","6","0:13:49.00","0:00:00.00","2021-09-06T02:25:52","2021-10-09T03:26:32"
"icfp21main-p46-p-video","233148050","OK","2","6","0:14:00.08","0:00:00.00","2021-09-06T02:25:25","2021-10-09T03:26:15"
"icfp21main-p43-p-video","298528806","OK","0","6","0:13:45.11","0:00:00.00","2021-09-06T02:24:42","2021-10-09T03:25:54"
"icfp21main-p4-p-video","177781265","OK","0","6","0:13:20.21","0:00:00.00","2021-09-06T02:24:05","2021-10-09T03:24:58"
"icfp21main-p45-p-video","128877120","OK","0","6","0:10:11.24","0:00:00.00","2021-09-06T02:24:41","2021-10-09T03:24:29"
"icfp21main-p265-p-video","166547011","OK","0","6","0:13:17.03","0:00:00.00","2021-09-06T02:23:49","2021-10-09T03:23:26"
"icfp21main-p232-p-video","175313232","OK","0","6","0:14:02.00","0:00:00.00","2021-09-06T02:23:11","2021-10-09T03:22:07"
"icfp21main-p23-p-video","181162268","OK","0","6","0:14:00.00","0:00:00.00","2021-09-06T02:22:19","2021-10-09T03:21:01"
"icfp21main-p236-p-video","272060505","OK","0","6","0:13:57.20","0:00:00.00","2021-09-06T02:23:41","2021-10-09T03:20:05"
"icfp21main-p176-p-video","190618112","OK","0","6","0:13:57.03","0:00:00.00","2021-09-06T02:21:47","2021-10-09T03:18:39"
"icfp21main-p187-p-video","194793916","OK","0","6","0:13:48.23","0:00:00.00","2021-09-06T02:21:54","2021-10-09T03:18:03"
"icfp21main-p20-p-video","175414748","OK","0","6","0:13:18.22","0:00:00.00","2021-09-06T02:22:12","2021-10-09T03:17:34"
"icfp21main-p158-p-video","327422520","OK","0","6","0:13:31.08","0:00:00.00","2021-09-06T02:21:09","2021-10-09T03:17:14"
"icfp21main-p136-p-video","329406998","OK","0","6","0:13:53.09","0:00:00.00","2021-09-06T02:20:05","2021-10-09T03:16:05"
"icfp21main-p154-p-video","178067421","OK","0","6","0:13:54.03","0:00:00.00","2021-09-06T02:20:54","2021-10-09T03:14:54"
"icfp21main-p133-p-video","202083012","OK","0","6","0:13:31.01","0:00:00.00","2021-09-06T02:19:51","2021-10-09T03:13:42"
"icfp21main-p138-p-video","360091563","OK","0","6","0:13:58.05","0:00:00.00","2021-09-06T02:20:33","2021-10-09T03:13:29"
